preprint_doi,published_doi,published_journal,preprint_platform,preprint_title,preprint_authors,preprint_category,preprint_date,published_date,preprint_abstract,preprint_author_corresponding,preprint_author_corresponding_institution
10.1101/001594,10.1186/1756-0500-7-933,BMC Research Notes,bioRxiv,Morphometrics of a wild Asian elephant exhibiting disproportionate dwarfism,Shermin de Silva;Udaya S Weerathunga;Tennekoon Pushpakumara;,Zoology ,2013-12-24,2014-12-19,"Dwarfism is a condition characterized by shorter stature, at times accompanied by differential skeletal growth pro-portions relative to the species-typical physical conformation. Causes vary and well-documented in humans as well as certain mammalian species in captive or laboratory conditions, but rarely observed in the wild. Here we report on a single case of apparent dwarfism in a free-ranging adult male Asian elephant (Elephas maximus) in Sri Lanka, comparing physical dimensions to those of other males in the same population, males in other populations, and records in previous literature. The subject was found to have a shoulder height of approximately 195cm, is shorter than the average height of typical mature males, with a body length of 218cm. This ratio of body length to height deviates from what is typically observed, which is approximately 1:1. In absolute height the subject was similar to the attributes of a captive elephant documented in 1955 in Sri Lanka, also said to be a dwarf, however the two specimens differed in the relative proportions of height vs. body length. The subject also exhibits a slight elongation of the skull. We discuss how this phenotype compares to cases of dwarfism in other non-human animals.",Shermin de Silva,"Colorado State University, EFECT, Trunks & Leaves (Inc.)"
10.1101/004804,10.1016/j.neuron.2014.12.018,Neuron,bioRxiv,Visual areas exert feedforward and feedback influences through distinct frequency channels,Andre M Bastos;Julien Vezoli;Conrado A Bosman;Jan-Mathijs Schoffelen;Robert Oostenveld;Jarrod R Dowdall;Peter De Weerd;Henry Kennedy;Pascal Fries;,Neuroscience ,2014-05-06,2014-12-31,"Visual cortical areas are thought to form a hierarchy and to subserve cognitive functions by interacting in both feedforward and feedback directions. While feedforward influences convey sensory signals, feedback influences modulate brain responses to a given sensory stimulus according to the current behavioural context. Many studies have demonstrated effects of feedback influences on feedforward driven responses and on behaviour. Also, anatomical projections in both directions have been identified. However, although these studies have revealed the anatomical paths and the neurophysiological consequences of influences in both directions, the neurophysiological mechanisms through which these influences are exerted remain largely elusive. Here we show that in the primate visual system, feedforward influences are carried by theta-band (~4 Hz) and gamma-band (~60-80 Hz) synchronization, and feedback influences by beta-band (~14-18 Hz) synchronization. These frequency-specific asymmetries in directed influences were revealed by simultaneous local field potential recordings from eight visual areas and an analysis of Granger-causal influences across all 28 pairs of areas. The asymmetries in directed influences correlated directly with asymmetries in anatomy and enabled us to build a visual cortical hierarchy from the influence asymmetries alone. Across different task periods, most areas stayed at their hierarchical position, whereas particularly frontal areas moved dynamically. Our results demonstrate that feedforward and feedback signalling use different frequency channels, which might subserve their differential communication requirements and lead to differential local consequences. The possibility to infer hierarchical relationships through functional data alone might make it possible to derive a cortical hierarchy in the living human brain.",Pascal  Fries,Ernst Strüngmann Institute (ESI) for Neuroscience in Cooperation with Max Planck Society
10.1101/006742,10.1101/gr.178756.114,Genome Research,bioRxiv,Efficient inference of population size histories and locus-specific mutation rates from large-sample genomic variation data,Anand Bhaskar;Y.X. Rachel Wang;Yun S. Song;,Evolutionary Biology ,2014-06-28,2015-01-06,"With the recent increase in study sample sizes in human genetics, there has been growing interest in inferring historical population demography from genomic variation data. Here, we present an efficient inference method that can scale up to very large samples, with tens or hundreds of thousands of individuals. Specifically, by utilizing analytic results on the expected frequency spectrum under the coalescent and by leveraging the technique of automatic differentiation, which allows us to compute gradients exactly, we develop a very efficient algorithm to infer piecewise-exponential models of the historical effective population size from the distribution of sample allele frequencies. Our method is orders of magnitude faster than previous demographic inference methods based on the frequency spectrum. In addition to inferring demography, our method can also accurately estimate locus-specific mutation rates. We perform extensive validation of our method on simulated data and show that it can accurately infer multiple recent epochs of rapid exponential growth, a signal which is difficult to pick up with small sample sizes. Lastly, we apply our method to analyze data from recent sequencing studies, including a large-sample exome-sequencing dataset of tens of thousands of individuals assayed at a few hundred genic regions.\n\nSoftwareWe have implemented the algorithms described in this paper in an open-source software package called fastNeutrino, which stands for fast Ne (effective population size) and mutation rate inference using analytic optimization. It will be publicly available at https://sourceforge.net/projects/fastneutrino.",Yun S. Song,"University of California, Berkeley"
10.1101/007922,10.1073/pnas.1413877112,Proceedings of the National Academy of Sciences,bioRxiv,Shadow enhancers enable Hunchback bifunctionality in the Drosophila embryo,Max Staller;Ben J. Vincent;Meghan D.J. Bragdon;Tara Lydiard-Martin;Zeba Wunderlich;Javier Estrada;Angela DePace;,Systems Biology ,2014-08-13,2015-01-06,"Hunchback (Hb) is a bifunctional transcription factor that activates and represses distinct enhancers. Here, we investigate the hypothesis that Hb can activate and repress the same enhancer. Computational models predicted that Hb bifunctionally regulates the even-skipped (eve) stripe 3+7 enhancer (eve3+7) in Drosophila blastoderm embryos. We measured and modeled eve expression at cellular resolution under multiple genetic perturbations and found that the eve3+7 enhancer could not explain endogenous eve stripe 7 behavior. Instead, we found that eve stripe 7 is controlled by two enhancers: the canonical eve3+7 and a sequence encompassing the minimal eve stripe 2 enhancer (eve2+7). Hb bifunctionally regulates eve stripe 7, but it executes these two activities on different pieces of regulatory DNA-it activates the eve2+7 enhancer and represses the eve3+7 enhancer. These two \""shadow enhancers\"" use different regulatory logic to create the same pattern.\n\nSignificance statementEnhancers are regions of regulatory DNA that control gene expression and cell fate decisions during development. Enhancers compute the expression pattern of their target gene by reading the concentrations of input regulatory proteins. Many developmental genes contain multiple enhancers that control the same output pattern, but it is unclear if these enhancers all compute the pattern in the same way. We use measurements in single cells and computational models in Drosophila embryos to demonstrate that two enhancers that encode the same gene expression pattern compute differently: the same regulatory protein represses one enhancer and activates the other. Pairs of enhancers that output the same pattern by performing different computations may impart special properties to developmental systems.",Angela  DePace,Harvard Medical School
10.1101/006908,10.1093/nar/gku1392,Nucleic Acids Research,bioRxiv,Recurrent alternative splicing isoform switches in tumor samples provide novel signatures of cancer,Endre Sebestyén;Michał Zawisza;Eduardo Eyras;,Bioinformatics ,2014-07-04,2015-01-10,"Cancer genomics has been instrumental to determine the genetic alterations that are predictive of various tumor conditions. However, the majority of these alterations occur at low frequencies, motivating the need to expand the catalogue of cancer signatures. Alternative pre-mRNA splicing alterations, which bear major importance for the understanding of cancer, have not been exhaustively studied yet in the context of recent cancer genome projects. In this article we analyze RNA sequencing data for more than 4000 samples from The Cancer Genome Atlas (TCGA) project, including paired normal samples, to detect recurrent alternative splicing isoform switches in 9 different cancer types. We first investigate whether alternative splicing isoform changes are predictive of tumors by applying a rank-based algorithm based on the reversal of the relative expression of transcript isoforms. We find that consistent alternative splicing isoform changes can separate with high accuracy tumor and normal samples, as well as some cancer subtypes. We then searched for those changes that occur in the most abundant isoform, i.e isoform switches, and are therefore more likely to have a functional impact. In total we detected 244 isoform switches, which are associated to functional pathways that are frequently altered in cancer and also separate tumor and normal samples accurately. We further assessed whether these isoform changes are associated to somatic mutations. Surprisingly, only a few cases appear to have association, including the putative tumor suppressor FBLN2 and the tumor driver MYH11, which show association of an isoform switch to mutations and indels on the alternatively spliced exon. However, the number of observed mutations is in general not sufficient to explain the frequency of the found isoform switches, suggesting that recurrent isoform switching in cancer is mostly independent of somatic mutations. In summary, we present an effective approach to detect novel alternative splicing signatures that are predictive of tumors. Moreover, the same methodology has led to uncover recurrent isoform switches in tumors, which may provide novel prognostic and therapeutic targets.\n\nSoftware and data are available at: https://bitbucket.org/regulatorygenomicsupf/iso-ktsp and http://dx.doi.org/10.6084/m9.figshare.1061917",Eduardo  Eyras,"Universitat Pompeu Fabra, Barcelona, Spain"
10.1101/007963,10.1093/bioinformatics/btv002,Bioinformatics,bioRxiv,RNA-Rocket: An RNA-Seq Analysis Resource for Infectious Disease Research,Andrew S. Warren;Cristina Aurrecoechea;Brian Brunk;Prerak Desai;Scott Emrich;Gloria I. Giraldo-Calderón;Omar Harb;Deborah Hix;Daniel Lawson;Dustin Machi;Chunhong Mao;Michael McClelland;Eric Nordberg;Maulik Shukla;Leslie B. Vosshall;Alice R. Wattam;Rebecca Will;Hyun Seung Yoo;Bruno Sobral;,Bioinformatics ,2014-08-14,2015-01-07,"MotivationRNA-Seq is a method for profiling transcription using high-throughput sequencing and is an important component of many research projects that wish to study transcript isoforms, condition specific expression, and transcriptional structure. The methods, tools, and technologies employed to perform RNA-Seq analysis continue to change, creating a bioinformatics challenge for researchers who wish to exploit these data. Resources that bring together genomic data, analysis tools, educational material, and computational infrastructure can minimize the overhead required of life science researchers.\n\nResultsRNA-Rocket is a free service that provides access to RNA-Seq and ChIP-Seq analysis tools for studying infectious diseases. The site makes available thousands of pre-indexed genomes, their annotations, and the ability to stream results to the bioinformatics resources VectorBase, EuPathDB, and PATRIC. The site also provides a combination of experimental data and metadata, examples of pre-computed analysis, step-by-step guides, and a user interface designed to enable both novice and experienced users of RNA-Seq data.\n\nAvailability: RNA-Rocket can be found at rnaseq.pathogenportal.org Source code for this project can be found at github.com/cidvbi/PathogenPortal",Andrew S. Warren,Virginia Tech
10.1101/007690,10.1534/genetics.114.173807,Genetics,bioRxiv,Can the site-frequency spectrum distinguish exponential population growth from multiple-merger coalescents?,Bjarki Eldon;Matthias Birkner;Jochen Blath;Fabian Freund;,Evolutionary Biology ,2014-08-06,2015-01-09,"The ability of the site-frequency spectrum (SFS) to reflect the particularities of gene genealogies exhibiting multiple mergers of ancestral lines as opposed to those obtained in the presence of population growth is our focus. An excess of singletons is a well-known characteristic of both population growth and multiple mergers. Other aspects of the SFS, in particular the weight of the right tail, are, however, affected in specific ways by the two model classes. Using an approximate likelihood method and minimum-distance statistics, our estimates of statistical power indicate that exponential and algebraic growth can indeed be distinguished from multiple merger coalescents, even for moderate sample size, if the number of segregating sites is high enough. A normalized version of the SFS is also used as a summary statistic in an approximate Bayesian computation (ABC) approach. The results give further positive evidence as to the general eligibility of the SFS to distinguish between the different histories.",Bjarki  Eldon,TU Berlin
10.1101/013573,10.1111/evo.12572,Evolution,bioRxiv,SWS2 visual pigment evolution as a test of historically contingent patterns of plumage color evolution in Warblers,Natasha Bloch;James M Morrow;Belinda SW Chang;Trevor D Price;,Evolutionary Biology ,2015-01-09,2014-12-12,"Distantly related clades that occupy similar environments may differ due to the lasting imprint of their ancestors - historical contingency. The New World warblers (Parulidae) and Old World warblers (Phylloscopidae) are ecologically similar clades that differ strikingly in plumage coloration. We studied genetic and functional evolution of the short-wavelength sensitive visual pigments (SWS2 and SWS1) to ask if altered color perception could contribute to the plumage color differences between clades. We show SWS2 is short-wavelength shifted in birds that occupy open environments, such as finches, compared to those in closed environments, including warblers. Sequencing of opsin genes and phylogenetic reconstructions indicate New World warblers were derived from a finch-like form that colonized from the Old World 15-20Ma. During this process the SWS2 gene accumulated 6 substitutions in branches leading to New World warblers, inviting the hypothesis that passage through a finch-like ancestor resulted in SWS2 evolution. In fact, we show spectral tuning remained similar across warblers as well as the finch ancestor. Results reject the hypothesis of historical contingency based on opsin spectral tuning, but point to evolution of other aspects of visual pigment function. Using the approach outlined here, historical contingency becomes a generally testable theory in systems where genotype and phenotype can be connected.",Natasha  Bloch,University of Chicago
10.1101/008052,10.1371/journal.pgen.1004915,PLOS Genetics,bioRxiv,Transposable elements contribute to activation of maize genes in response to abiotic stress,Irina Makarevitch;Amanda J Waters;Patrick T West;Michelle C Stitzer;Jeffrey Ross-Ibarra;Nathan M Springer;,Genomics ,2014-08-15,2015-01-08,"Transposable elements (TEs) account for a large portion of the genome in many eukaryotic species. Despite their reputation as ""junk"" DNA or genomic parasites deleterious for the host, TEs have complex interactions with host genes and the potential to contribute to regulatory variation in gene expression. It has been hypothesized that TEs and genes they insert near may be transcriptionally activated in response to stress conditions. The maize genome, with many different types of TEs interspersed with genes, provides an ideal system to study the genome-wide influence of TEs on gene regulation. To analyze the magnitude of the TE effect on gene expression response to environmental changes, we profiled gene and TE transcript levels in maize seedlings exposed to a number of abiotic stresses. Many genes exhibit up- or down-regulation in response to these stress conditions. The analysis of TE families inserted within upstream regions of up-regulated genes revealed that between four and nine different TE families are associated with up-regulated gene expression in each of these stress conditions, affecting up to 20% of the genes up-regulated in response to abiotic stress and as many as 33% of genes that are only expressed in response to stress. Expression of many of these same TE families also responds to the same stress conditions. The analysis of the stress- induced transcripts and proximity of the transposon to the gene suggests that these TEs may provide local enhancer activities that stimulate stress-responsive gene expression. Our data on allelic variation for insertions of several of these TEs show strong correlation between the presence of TE insertions and stress-responsive up-regulation of gene expression. Our findings suggest that TEs provide an important source of allelic regulatory variation in gene response to abiotic stress in maize.",Nathan M Springer,University of Minnesota
10.1101/009225,10.1371/journal.pgen.1004920,PLOS Genetics,bioRxiv,Century-scale methylome stability in a recently diverged Arabidopsis thaliana lineage,Joerg Hagmann;Claude Becker;Jonas Müller;Oliver Stegle;Rhonda C Meyer;Korbinian Schneeberger;Joffrey Fitz;Thomas Altmann;Joy Bergelson;Karsten Borgwardt;Detlef Weigel;,Genomics ,2014-09-16,2015-01-08,"There has been much excitement about the possibility that exposure to specific environments can induce an ecological memory in the form of whole-sale, genome-wide epigenetic changes that are maintained over many generations. In the model plant Arabidopsis thaliana, numerous heritable DNA methylation differences have been identified in greenhouse-grown isogenic lines, but it remains unknown how natural, highly variable environments affect the rate and spectrum of such changes. Here we present detailed methylome analyses in a geographically dispersed A. thaliana population that constitutes a collection of near-isogenic lines, diverged for at least a century from a common ancestor. We observed little DNA methylation divergence whole-genome wide. Nonetheless, methylome variation largely reflected genetic distance, and was in many aspects similar to that of lines raised in uniform conditions. Thus, even when plants are grown in varying and diverse natural sites, genome-wide epigenetic variation accumulates in a clock-like manner, and epigenetic divergence thus parallels the pattern of genome-wide DNA sequence divergence.",Detlef  Weigel,"Department of Molecular Biology, Max Planck Institute for Developmental Biology"
10.1101/010884,10.1038/ncomms6903,Nature Communications,bioRxiv,Enhanced Transcriptome Maps from Multiple Mouse Tissues Reveal Evolutionary Constraint in Gene Expression for Thousands of Genes,Dmitri Pervouchine;Sarah Djebali;Alessandra Breschi;Carrie A Davis;Pablo Prieto Barja;Alex Dobin;Andrea Tanzer;Julien Lagarde;Chris Zaleski;Lei-Hoon See;Meagan Fastuca;Jorg Drenkow;Huaien Wang;Giovanni Bussotti;Baikang Pei;Suganthi Balasubramanian;Jean Monlong;Arif Harmanci;Mark Gerstein;Michael A Beer;Cedric Notredame;Roderic Guigo;Thomas R Gingeras;,Bioinformatics ,2014-10-30,2015-01-13,"We characterized by RNA-seq the transcriptional profiles of a large and heterogeneous collection of mouse tissues, augmenting the mouse transcriptome with thousands of novel transcript candidates. Comparison with transcriptome profiles obtained in human cell lines reveals substantial conservation of transcriptional programs, and uncovers a distinct class of genes with levels of expression across cell types and species, that have been constrained early in vertebrate evolution. This core set of genes capture a substantial and constant fraction of the transcriptional output of mammalian cells, and participates in basic functional and structural housekeeping processes common to all cell types. Perturbation of these constrained genes is associated with significant phenotypes including embryonic lethality and cancer. Evolutionary constraint in gene expression levels is not reflected in the conservation of the genomic sequences, but is associated with strong and conserved epigenetic marking, as well as to a characteristic post-transcriptional regulatory program in which sub-cellular localization and alternative splicing play comparatively large roles.",Thomas R Gingeras,"Cold Spring Harbor Laboratory, Functional Genomics"
10.1101/002337,10.1007/s00248-014-0518-y,Microbial Evolution,bioRxiv,Metabolic composition of anode community predicts electrical power in microbial fuel cells,Andre Gruning;Nelli J Beecroft;Claudio Avignone-Rossa;,Microbiology ,2014-02-07,2014-11-12,"Microbial Fuel Cells (MFCs) are a promising technology for organic waste treatment and sustainable bioelectricity production. Inoculated with natural communities, they present a complex microbial ecosystem with syntrophic interactions between microbes with different metabolic capabilities. From this point of view, they are similar to anaerobic digesters, however with methanogenesis replaced by anaerobic respiration with the anode as terminal electron acceptor. Bio-electrochemically they are similar to classical fuel cells where however the electrogenic redox reaction is part of the microbial metabolism rather than mediated by an inorganic catalyst.\n\nIn this paper, we analyse how electric power production in MFCs depends on the composition of the anodic biofilm in terms of metabolic capabilities of identified sets of species. MFCs were started with a natural inoculum and continuously fed with sucrose, a fermentable carbohydrate. The composition of the community, power and other environmental data were sampled over a period of a few weeks during the maturation of the anodic biofilm, and the community composition was determined down to the species level including relevant metabolic capabilities.\n\nOur results support the hypothesis that an MFCs with natural inoculum and fermentable feedstock is essentially a two stage system with fermentation followed by anode-respiration. Our results also show that under identical starting and operating conditions, MFCs with comparable power output can develop different anodic communities with no particular species dominant across all replicas. It is only important for good power production that all cells contain a sufficient fraction of low-potential anaerobic respirators, that is respirators that can use terminal electron acceptors with a low redox potential. We conclude with a number of hypotheses and recommendations for the operation of MFCs to ensure good electric yield.",Andre  Gruning,University of Surrey
10.1101/004846,10.1016/j.celrep.2014.12.035,Cell Reports,bioRxiv,Cooperation between Noncanonical Ras Network Mutations in Cancer,Edward C Stites;Paul C Trampont;Lisa B Haney;Scott F Walk;Kodi S Ravichandran;,Cancer Biology ,2014-05-06,2015-01-15,"Cancer develops after the acquisition of a collection of mutations that together create the  cancer phenotype. How collections of mutations work together within a cell, and whether there is selection for certain combinations of mutations, are not well understood. Using a Ras signaling network mathematical model we tested potential synergistic combinations within the Ras network. Intriguingly, our modeling, including a \""computational random mutagenesis\"" approach, and subsequent experiments revealed that mutations of the tumor suppressor gene NF1 can amplify the effects of mutations in multiple other components of the Ras pathway, including weakly activating, noncanonical, Ras mutants. Since conventional wisdom holds that mutations within the same pathway do not co-occur, it was surprising that modeling and experiments both suggested a functional benefit for co-occurring Ras pathway mutations. Furthermore, we analyzed >3900 sequenced cancer specimens from the Cancer Cell Line Encyclopedia (CCLE) and The Cancer Genome Atlas (TCGA) and we uncovered an increased rate of co-occurrence between mutations the model predicted could display synergy. Overall, these data suggest that selective combinations of Ras pathway mutations could serve the role of cancer \""driver\"". More generally, this work presents a mechanism by which the context created by one mutation influences the evolutionary trajectories of cancer development, and this work suggests that mutations that result in \""network instability\"" may promote cancer in a manner analogous to genomic instability.",Edward C Stites,Washington University School of Medicine
10.1101/009902,10.1142/9789814644730_0032,Pacific Symposium on Biocomputing,bioRxiv,Crowdsourcing RNA structural alignments with an online computer game,Jérôme Waldispühl;Arthur Kam;Paul Gardner;,Bioinformatics ,2014-10-03,2015-01-20,"The annotation and classification of ncRNAs is essential to decipher molecular mechanisms of gene regulation in normal and disease states. A database such as Rfam maintains alignments, consensus secondary structures, and corresponding annotations for RNA families. Its primary purpose is the automated, accurate annotation of non-coding RNAs in genomic sequences. However, the alignment of RNAs is computationally challenging, and the data stored in this database are often subject to improvements. Here, we design and evaluate Ribo, a human-computing game that aims to improve the accuracy of RNA alignments already stored in Rfam. We demonstrate the potential of our techniques and discuss the feasibility of large scale collaborative annotation and classification of RNA families.",Jérôme  Waldispühl,McGill University
10.1101/010256,10.1142/9789814644730_0006,Pacific Symposium on Biocomputing,bioRxiv,Integrative Genome-wide Analysis of the Determinants of RNA Splicing in Kidney Renal Clear Cell Carcinoma,Kjong-Van Lehmann;Andre Kahles;Cyriac Kandoth;William Lee;Nikolaus Schultz;Oliver Stegle;Gunnar Rätsch;,Cancer Biology ,2014-10-19,2015-01-20,"We present a genome-wide analysis of splicing patterns of 282 kidney renal clear cell carcinoma patients in which we integrate data from whole-exome sequencing of tumor and normal samples, RNA-seq and copy number variation. We proposed a scoring mechanism to compare splicing patterns in tumor samples to normal samples in order to rank and detect tumor-specific isoforms that have a potential for new biomarkers. We identified a subset of genes that show introns only observable in tumor but not in normal samples, ENCODE and GEUVADIS samples. In order to improve our understanding of the underlying genetic mechanisms of splicing variation we performed a large-scale association analysis to find links between somatic or germline variants with alternative splicing events. We identified 915 cis- and trans-splicing quantitative trait loci (sQTL) associated with changes in splicing patterns. Some of these sQTL have previously been associated with being susceptibility loci for cancer and other diseases. Our analysis also allowed us to identify the function of several COSMIC variants showing significant association with changes in alternative splicing. This demonstrates the potential significance of variants affecting alternative splicing events and yields insights into the mechanisms related to an array of disease phenotypes.",Gunnar  Rätsch,"Computational Biology Center, Memorial Kettering Cancer Center"
10.1101/008359,10.1242/bio.201410843,Biology Open,bioRxiv,TACC3-ch-TOG track the growing tips of microtubules independently of clathrin and Aurora-A phosphorylation,Cristina Gutiérrez-Caballero;Selena G Burgess;Richard Bayliss;Stephen J Royle;,Cell Biology ,2014-08-21,2015-01-16,"The interaction between TACC3 (transforming acidic coiled coil protein 3) and the microtubule polymerase ch-TOG (colonic, hepatic tumor overexpressed gene) is evolutionarily conserved. Loading of TACC3-ch-TOG onto mitotic spindle microtubules requires the phosphorylation of TACC3 by Aurora-A kinase and the subsequent interaction of TACC3 with clathrin to form a microtubule-binding surface. Recent work indicates that TACC3 can track the plus-ends of microtubules and modulate microtubule dynamics in non-dividing cells via its interaction with ch-TOG. Whether there is a pool of TACC3-ch-TOG that is independent of clathrin in human cells, and what is the function of this pool, are open questions. Here, we describe the molecular interaction between TACC3 and ch-TOG that permits TACC3 recruitment to the plus-ends of microtubules. This TACC3-ch-TOG pool is independent of EB1, EB3, Aurora-A phosphorylation and binding to clathrin. We also describe the distinct combinatorial subcellular pools of TACC3, ch-TOG and clathrin. TACC3 is often described as a centrosomal protein, but we show that there is no significant population of TACC3 at centrosomes. The delineation of distinct protein pools reveals a simplified view of how these proteins are organized and controlled by post-translational modification.",Stephen J Royle,Warwick Medical School
10.1101/006825,10.1038/ng.3196,Nature Genetics,bioRxiv,Probabilities of Fitness Consequences for Point Mutations Across the Human Genome,Brad Gulko;Ilan Gronau;Melissa J Hubisz;Adam Siepel;,Genomics ,2014-07-02,2015-01-19,"We describe a novel computational method for estimating the probability that a point mutation at each position in a genome will influence fitness. These fitness consequence (fit-Cons) scores serve as evolution-based measures of potential genomic function. Our approach is to cluster genomic positions into groups exhibiting distinct \""fingerprints\"" based on high-throughput functional genomic data, then to estimate a probability of fitness consequences for each group from associated patterns of genetic polymorphism and divergence. We have generated fitCons scores for three human cell types based on public data from EN-CODE. Compared with conventional conservation scores, fitCons scores show considerably improved prediction power for cis-regulatory elements. In addition, fitCons scores indicate that 4.2-7.5% of nucleotides in the human genome have influenced fitness since the human-chimpanzee divergence, and, in contrast to several recent studies, they suggest that recent evolutionary turnover has had limited impact on the functional content of the genome.",Adam  Siepel,Cornell University
10.1101/008706,10.1038/sdata.2014.54,Scientific Data,bioRxiv,A high resolution 7-Tesla resting-state fMRI test-retest dataset with cognitive and physiological measures,Krzysztof Jacek Gorgolewski;Natacha Mendes;Domenica Wilfling;Elisabeth Wladimirow;Claudine J. Gauthier;Tyler Bonnen;Florence J. M. Ruby;Robert Trampel;Pierre-Louis Bazin;Roberto Cozatl;Jonathan Smallwood;Daniel S. Margulies;,Neuroscience ,2014-09-03,2015-01-20,"Here we present a test-retest dataset of functional magnetic resonance imaging (fMRI) data acquired at rest. 22 participants were scanned during two sessions spaced one week apart. Each session includes two 1.5 mm isotropic whole-brain scans and one 0.75 mm isotropic scan of the prefrontal cortex, giving a total of six timepoints. Additionally, the dataset includes measures of mood, sustained attention, blood pressure, respiration, pulse, and the content of self-generated thoughts (mind wandering). This data enables the investigation of sources of both intra- and inter-session variability not only limited to physiological changes, but also including alterations in cognitive and affective states, at high spatial resolution. The dataset is accompanied by a detailed experimental protocol and source code of all stimuli used.",Krzysztof Jacek Gorgolewski,Max Planck Institute for Human Cognitive and Brain Sciences
10.1101/006684,10.1093/molbev/msv007,Molecular Biology and Evolution,bioRxiv,"Long-term balancing selection in LAD1 maintains a missense trans-species polymorphism in humans, chimpanzees and bonobos",João C. Teixeira;Cesare de Filippo;Antje Weihmann;Juan R. Meneu;Fernando Racimo;Michael Dannemann;Birgit Nickel;Anne Fischer;Michel Halbwax;Claudine Andre;Rebeca Atencia;Matthias Meyer;Genís Parra;Svante Pääbo;Aida M. Andrés;,Evolutionary Biology ,2014-06-27,2015-01-19,"Balancing selection maintains advantageous genetic and phenotypic diversity in populations. When selection acts for long evolutionary periods selected polymorphisms may survive species splits and segregate in present-day populations of different species. Here, we investigated the role of long-term balancing selection in the evolution of protein-coding sequences in the Pan-Homo clade. We sequenced the exome of 20 humans, 20 chimpanzees and 20 bonobos and detected eight coding trans-species polymorphisms (trSNPs) that are shared among the three species and have segregated for approximately 14 million years of independent evolution. While the majority of these trSNPs were found in three genes of the MHC cluster, we also uncovered one coding trSNP (rs12088790) in the gene LAD1. All these trSNPs show clustering of sequences by allele rather than by species and also exhibit other signatures of long-term balancing selection, such as segregating at intermediate frequency and lying in a locus with high genetic diversity. Here we focus on the trSNP in LAD1, a gene that encodes for Ladinin-1, a collagenous anchoring filament protein of basement membrane that is responsible for maintaining cohesion at the dermal-epidermal junction; the gene is also an autoantigen responsible for linear IgA disease. This trSNP results in a missense change (Leucine257Proline) and, besides altering the protein sequence, is associated with changes in gene expression of LAD1.",Aida M. Andrés,Max Planck Institute for Evolutionary Anthropology
10.1101/004788,10.1242/dev.117796,Development,bioRxiv,A gene expression atlas of a bicoid-depleted Drosophila embryo reveals early canalization of cell fate,Max V Staller;Charless C Fowlkes;Meghan D.J. Bragdon;Zeba B. Wunderlich;Angela DePace;,Systems Biology ,2014-05-06,2015-01-22,"In developing embryos, gene regulatory networks canalize cells towards discrete terminal fates. We studied the behavior of the anterior-posterior segmentation network in Drosophila melanogaster embryos depleted of a key maternal input, bicoid (bcd), by building a cellular- resolution gene expression atlas containing measurements of 12 core patterning genes over 6 time points in early development. With this atlas, we determine the precise perturbation each cell experiences, relative to wild type, and observe how these cells assume cell fates in the perturbed embryo. The first zygotic layer of the network, consisting of the gap and terminal genes, is highly robust to perturbation: all combinations of transcription factor expression found in bcd depleted embryos were also found in wild type embryos, suggesting that no new cell fates were created even at this very early stage. All of the gap gene expression patterns in the trunk expand by different amounts, a feature that we were unable to explain using two simple models of the effect of bcd depletion. In the second layer of the network, depletion of bcd led to an excess of cells expressing both even skipped and fushi tarazu early in the blastoderm stage, but by gastrulation this overlap resolved into mutually exclusive stripes. Thus, following depletion of bcd, individual cells rapidly canalize towards normal cell fates in both layers of this gene regulatory network. Our gene expression atlas provides a high resolution picture of a classic perturbation and will enable further modeling of canalization in this transcriptional network.",Angela  DePace,Harvard Medical School
10.1101/006338,10.1186/s13059-014-0553-5,Genome Biology,bioRxiv,Evaluation of de novo transcriptome assemblies from RNA-Seq data,Bo Li;Nathanael Fillmore;Yongsheng Bai;Mike Collins;James A Thomson;Ron Stewart;Colin Dewey;,Bioinformatics ,2014-06-13,2014-12-21,"De novo RNA-Seq assembly facilitates the study of transcriptomes for species without sequenced genomes, but it is challenging to select the most accurate assembly in this context. To address this challenge, we developed a model-based score, RSEM-EVAL, for evaluating assemblies when the ground truth is unknown. Our experiments show that RSEM-EVAL correctly reflects assembly accuracy, as measured by REF-EVAL, a refined set of ground-truth-based scores that we also developed. With the guidance of RSEM-EVAL, we assembled the transcriptome of the regenerating axolotl limb; this assembly compares favorably to a previous assembly.",Colin  Dewey,University of Wisconsin-Madison
